RAHKILA  Jani,No,,Finland,
WILLFÖR  Stefan,No,,Finland,
KOZINC  Žiga,No,,Slovenia,
BABIČ  Jan,No,,Slovenia,
SEVER  Jernej,No,,Slovenia,
BABIČ  Jan,No,,Slovenia,
KOZINC  Žiga,No,,Slovenia,
SPUDIĆ  Darjan,No,,Slovenia,
TESTONI  Ines,No,,Italy,Israel
PIOL  Silvia,No,,Italy,
HAWGOOD  Jacinta L,No,,Australia,
KRYSINSKA  Karolina,No,,Australia,
MOONEY  Maddeline,No,,Australia,
OZOLS  Ingrid,No,,Australia,
ANDRIESSEN  Karl,No,,Australia,
BETTERRIDGE  Carmen,No,,Australia,
KÖLVES  Kairi,No,,Australia,
KOZINC  Žiga,No,,Slovenia,
PLEŠA  Jernej,No,,Slovenia,
ENTILLI  Lorenza,No,,Australia,Italy
ROSS  Victoria,No,,Australia,
CIPOLLETTA  Sabrina,No,,Italy,
KÖLVES  Kairi,No,,Australia,
AI  Kang,No,,China,
CURTIN  Kimberley,No,,Canada,
CLARK  Cain,No,,United Kingdom,
CHEN  Si-Tong,No,,Australia,
XINLI  Chi,No,,China,
KOZINC  Žiga,No,,Slovenia,
LAVRIČ  Meta,No,,Slovenia,
GOMBOC  Vanja,No,,Slovenia,
KROHNE  Nina,No,,Slovenia,
PODLOGAR  Tina,No,,Slovenia,
POŠTUVAN  Vita,No,,Slovenia,
ŠEDIVY  Nuša,No,,Slovenia,
KOZINC  Žiga,No,,Slovenia,
SOLMI  Marco,No,,Canada,United Kingdom
KOZINC  Žiga,No,,Slovenia,
QUINTANA-GALLARDO  Alberto,No,,Spain,
SCHAU  Erwin Andreas Meissner,Yes,,Slovenia,
PRELOVŠEK NiemelÁ¤  Eva,Yes,,Slovenia,
PAPA  Ilaria,No,,Italy,
EL Hassanin  A,No,,Italy,
LANGELLA  Tania,Yes,,Italy,
LOPRESTO  Valentina,No,,Italy,
ŠEDIVY  Nuša,No,,Slovenia,
POŠTUVAN  Vita,No,,Slovenia,
ŽVELC  Gregor,No,,Slovenia,
AMADÉO  Stéphane,No,,France,
REREAO  Moerani,No,,France,
BEAUCHAMP  Guy,No,,Canada,
FAVRO  Patrick,No,,France,
MALOGNE  Aurelia,No,,France,
GOODFELLOW  Benjamin,No,,France,
JEHEL  Louis,No,,France,
NGUYEN  NgocLam,No,,France,
SEGUIN  Monique,No,,Canada,
FESTUS Alao  Percy,No,,Estonia,
MIKLI  Valdek,No,,Estonia,
KERS  Jaan,No,,Estonia,
KOZINC  Žiga,No,,Slovenia,
BALTRUSCH  Saskla,No,,Netherlands,
HOUDIJK  Han,No,,Netherlands,
ČUROVIĆ  Luka,No,,Slovenia,
MUROVEC  Jure,No,,Slovenia,
NOVAKOVIĆ  Tadej,No,,Slovenia,
PRISLAN  Rok,Yes,,Slovenia,
PREZELJ  Jurij,No,,Slovenia,
HADŽIĆ  Vedran,No,,Slovenia,
SATTLER  Tine,No,,Slovenia,
PORI  Primož,No,,Slovenia,
VESELKO  Matjaž,No,,Slovenia,
DERVIŠEVIĆ  Edvin,No,,Slovenia,
MARKOVIĆ  Goran,No,,Slovenia,Croatia
KOZINC  Žiga,No,,Slovenia,
GARCÍA Ramos  Amador,No,,Chile,Spain
KNEZEVIC  Olivera M,No,,Serbia,
ČOH  Milan,No,,Slovenia,
MIRKOV  Dragan,No,,Serbia,
KOZINC  Žiga,No,,Slovenia,
MARKOVIĆ  Goran,No,,Slovenia,Croatia
HADŽIĆ  Vedran,No,,Slovenia,
VATOVEC  Rok,No,,Slovenia,
MARUŠIČ  Jan,No,,Slovenia,
MARKOVIĆ  Goran,No,,Croatia,
KOZINC  Žiga,No,,Slovenia,
BISHOP  Chris,No,,United Kingdom,
REYA  Matija,No,,Slovenia,
ŠKARABOT  Jakob,No,,United Kingdom,
CVETIČANIN  Branko,No,,Slovenia,
GOLUBIĆ  Antonija,No,,Croatia,
MARKOVIĆ  Goran,No,,Croatia,
LESKE  Stuart,No,,Australia,
KÖLVES  Kairi,No,,Australia,
CROMPTON  David,No,,Australia,
ARENSMAN  Ella,No,,Australia,Ireland
LESKE  Stuart,No,,Australia,
KÖLVES  Kairi,No,,Australia,
ARENSMAN  Ella,No,,Australia,Ireland
MOKNI GHRIBI  Abir,No,,Tunisia,
ZOUARI  Mariem,Yes,,Tunisia,
ATTIA  Hamadi,No,,Tunisia,
BESBES  Souhail,No,,Tunisia,Belgium
VREČEK  Nace,No,,Slovenia,
HOFER  Christian,No,,Austria,
LOEFLER  Stefan,No,,Austria,
KOZINC  Žiga,No,,Slovenia,
KERN  Helmut,No,,Austria,
FESTUS Alao  Percy,No,,Estonia,
KALLAKAS  Heikko,No,,Estonia,
JUST  Alar,No,,Estonia,
POLTIMÄE  Triinu,No,,Estonia,
KERS  Jaan,No,,Estonia,
KOZINC  Žiga,No,,Slovenia,
TRAJKOVIĆ  Nebojša,No,,Serbia,
KOZINC  Žiga,No,,Slovenia,
MIKLAVČIČ VIŠNJEVEC  Ana,No,,Slovenia,
BAKER  Paul,No,,United Kingdom,
CHARLTON  Adam,No,,United Kingdom,
PRESKETT  Dave,No,,United Kingdom,
KRAMBERGER  Katja,No,,Slovenia,
MIKLAVČIČ VIŠNJEVEC  Ana,No,,Slovenia,
BAKER  Paul,No,,United Kingdom,
KRIENKE  Dominik,No,,Germany,
CHARLTON  Adam,No,,United Kingdom,
MIKLAVČIČ VIŠNJEVEC  Ana,No,,Slovenia,
ENTILLI  Lorenza,No,,Italy,
POLATO  Mirko,No,,Italy,
ROSS  Victoria,No,,Australia,
KÖLVES  Kairi,No,,Australia,
KOVÁCS László,Yes,,Hungary,Slovenia
BÓTA  András,No,,Hungary,Sweden
KENIG  Saša,No,,Slovenia,
KRAMBERGER  Katja,No,,Slovenia,
PETELIN  Ana,No,,Slovenia,
BANDELJ  Dunja,No,,Slovenia,
BARUCA ARBEITER  Alenka,No,,Slovenia,
MIKLAVČIČ VIŠNJEVEC  Ana,No,,Slovenia,
MOHORKO  Nina,No,,Slovenia,
ŠIK NOVAK  Karin,No,,Slovenia,
JENKO PRAŽNIKAR  Zala,No,,Slovenia,
MIKLAVČIČ VIŠNJEVEC  Ana,No,,Slovenia,
TAMAYO Tenorio  Angelica,No,,Denmark,
STEENKJÆR HASTRUP  Anne Christine,No,,Denmark,
LOUIE HANSEN  Natanya Majbritt,No,,Denmark,
KOZINC  Žiga,No,,Slovenia,
KOZINC  Žiga,No,,Slovenia,
FESTUS Alao  Percy,No,,Estonia,
LAVRIČ  Gregor,No,,Slovenia,
SAARNA  Mart,No,,Estonia,
KERS  Jaan,No,,Estonia,
ROBLES  Eduardo,No,,Spain,France
HERRERA Diaz  Rene,Yes,,Spain,Slovenia
HOYOS-MARTINEZ  Pedro L,No,,Spain,
FERNÁNDEZ-RODRÍGUEZ  Javier,No,,Spain,
LABIDI  Jalel,No,,Spain,
ČEKLIĆ  Urška,No,,Slovenia,
TRAJKOVIĆ  Nebojša,No,,Serbia,
KOZINC  Žiga,No,,Slovenia,
DOBNIK  Marina,No,,Slovenia,
LOEFLER  Stefan,No,,Austria,
HOFER  Christian,No,,Austria,
ŠARABON  Nejc,Yes,,Slovenia,
KALLAB  Lara,No,,France,
CHBEIR  Richard,No,,France,
KOZINC  Žiga,No,,Slovenia,
TOMČIĆ  Jasminka,No,,Croatia,
MARKOVIĆ  Goran,No,,Croatia,
CASAGRANDE  Daniele,No,,Italy,
FANTI  Riccardo,No,,Italy,
GRECO  Marco,No,,Italy,
POLASTRI  Andrea,No,,Italy,
GAJIĆ  Darija,No,,Bosnia and Herzegovina,
PEULIĆ  Slobodan,No,,Bosnia and Herzegovina,
MAVRIČ  Tim,Yes,,Slovenia,
MALEŠEVIĆ  Milica,No,,Bosnia and Herzegovina,
SLIJEPČEVIĆ  Mladen,No,,Bosnia and Herzegovina,
ŐSZ  Olivér,No,,Hungary,
HEGYHÁTI  Máté,No,,Hungary,
STARMAN  Vesna,Yes,,Slovenia,
SPUDIĆ  Darjan,No,,Slovenia,
MANOJLOVIĆ  Denisa,No,,Slovenia,
ZORKO  Martin,No,,Slovenia,
SPUDIĆ  Darjan,No,,Slovenia,
UJAKOVIĆ  Filip,No,,Slovenia,
PLEŠA  Jernej,No,,Slovenia,
KOZINC  Žiga,No,,Slovenia,
SANDAK  Jakub Michal,Yes,,Slovenia,
COCCHI  Marina,No,,Italy,
VOJÁČKOVÁ  Barbora,No,,Czech Republic,
TIPPNER  Jan,No,,Czech Republic,
HORACEK  P,No,,Czech Republic,
SEBERA  Václav,Yes,,Czech Republic,Slovenia
PRAUS  Luděk,No,,Czech Republic,
MAŘÍK  Robert,No,,Czech Republic,
BRABEC  Martin,No,,Czech Republic,
PETRAVIĆ  Luka,No,,Slovenia,
ARH  Rok,No,,Slovenia,
GABROVEC  Tina,No,,Slovenia,
JAZBEC  Lucija,No,,Slovenia,
RUPČIĆ  Nika,No,,Slovenia,
STAREŠINIČ  Nina,No,,Slovenia,
ZORMAN  Lea,No,,Slovenia,
PRETNAR ŽAGAR  Ajda,No,,Slovenia,
SRAKAR  Andrej,No,,Slovenia,
ZWITTER  Matjaž,No,,Slovenia,
CANDELIER  Kevin,No,,France,
VALETTE  Jérémy,No,,France,
LANVIN  Charline,No,,France,
HORVAT  Barbara,No,,Slovenia,
LEGAN  Lea D,No,,Slovenia,
EVALLANCE  David Brian,Yes,,Slovenia,
HÄNSEL  Andreas,No,,Germany,
MAI  Juana,No,,Germany,
NIEMZ  Peter,No,,Switzerland,Sweden
TÓTH  Attila,No,,Hungary,
TAUBE  Piotr,No,,Poland,
ORŁOWSKI  Kazimierz A,No,,Poland,
CHUCHAŁA  Daniel,No,,Poland,
VICHI  Monica,No,,Italy,
KÖLVES  Kairi,No,,Australia,
POMPILI  Maurizio,No,,Italy,
KOZINC  Žiga,No,,Slovenia,
BALTRUSCH  Saskla,No,,Netherlands,
HOUDIJK  Han,No,,Netherlands,
UJAKOVIĆ  Filip,No,,Croatia,Slovenia
ZORKO  Martin,No,,Slovenia,
HIRSCH  Karmen,No,,Slovenia,
SUPEJ  Matej,No,,Slovenia,
ZORKO  Martin,No,,Slovenia,
HIRSCH  Karmen,No,,Slovenia,
SUPEJ  Matej,No,,Slovenia,
KOZINC  Žiga,No,,Slovenia,
SUPEJ  Matej,No,,Slovenia,
OGRIN  Jan,No,,Slovenia,
HOLMBERG  Hans-Christer,No,,Sweden,China
BEEZLEY  Kenneth E,No,,United States,
DAHLE  Gregory,No,,United States,
MIESBAUER  Jason,No,,United States,
KÖLVES  Kairi,No,,Australia,
ZHAO  Qing,No,,Australia,
ROSS  Victoria,No,,Australia,
HAWGOOD  Jacinta L,No,,Australia,
SPENCE  Susan H,No,,Australia,
BODI-PAUL  Laura,No,,Spain,
GORDOBIL  Oihana,Yes,,Spain,
LABIDI  Jalel,No,,Spain,
HEMMING  Jarl,No,,Finland,
SMEDS  Annika,No,,Finland,
WILLFÖR  Stefan,No,,Finland,
LABIDI  Jalel,No,,Spain,
ORŁOWSKI  Kazimierz A,No,,Poland,
CHUCHAŁA  Daniel,No,,Poland,
ESTEVES  Bruno,No,,Portugal,
SANTOS  Jorge,No,,Portugal,
CARVALHO  Luisa,No,,Portugal,
NUNES  Lina,No,,Portugal,
FERREIRA  José,No,,Portugal,
DOMINGOS  Idalina,No,,Portugal,
CRUZ-LOPES  Luísa,No,,Portugal,
NYRUD  Anders Q,No,,Norway,
BÁDER  Mátyás,No,,Hungary,
NÉMETH  RÁ³bert,No,,Hungary,
PODLOGAR  Tina,No,,Slovenia,
POŠTUVAN  Vita,No,,Slovenia,
ŽVELC  Gregor,No,,Slovenia,
GOODFELLOW  Benjamin,No,,Australia,
KÖLVES  Kairi,No,,Australia,
ORŁOWSKI  Kazimierz A,No,,Poland,
CHUCHAŁA  Daniel,No,,Poland,
TAUBE  Piotr,No,,Poland,
KÖLVES  Kairi,No,,Australia,
KOO  Yu Wen,No,,Australia,
KOZINC  Žiga,No,,Slovenia,
BISHOP  Chris,No,,United Kingdom,
